"","success","goal_adj","country","category","name_len","name_len_clean","blurb_len","blurb_len_clean","deadline_weekday","created_at_weekday","launched_at_weekday","deadline_month","deadline_yr","created_at_month","created_at_yr","launched_at_month","launched_at_yr","create_to_launch_days","launch_to_deadline_days","avg_pledge"
"15744",1,1027.40233601967,"US","Other",7,7,20,17,"Saturday","Tuesday","Friday","10","2015","9","2015","9","2015",9,15,70.0759248498935
"15745",1,744.700707087489,"CA","Other",8,8,23,16,"Saturday","Thursday","Thursday","2","2017","12","2016","1","2017",6,30,63.6928288446042
"15746",1,7561.3570442845,"US","Other",10,9,20,16,"Sunday","Wednesday","Monday","12","2016","7","2016","11","2016",123,34,168.159056385768
"15747",1,468.210090912898,"CA","Other",4,4,17,12,"Wednesday","Sunday","Monday","11","2015","9","2015","10","2015",7,30,84.4436367307403
"15748",1,514.051808406647,"US","Other",7,5,16,11,"Sunday","Friday","Wednesday","3","2016","2","2016","2","2016",4,32,45.3650720918866
"15749",1,2941.07323384164,"GB","Other",4,4,20,14,"Sunday","Saturday","Friday","3","2016","1","2016","2","2016",20,30,28.158143686936
"15750",1,481.357268060635,"HK","Other",6,6,14,11,"Wednesday","Thursday","Monday","11","2016","10","2016","10","2016",4,30,129.310678784319
"15751",1,50282.1086643834,"US","Other",4,4,15,14,"Monday","Thursday","Sunday","1","2017","11","2016","12","2016",24,36,256.629698904802
"15752",1,3903.51374708549,"CA","Other",9,9,21,15,"Wednesday","Thursday","Sunday","9","2015","4","2015","8","2015",115,45,199.221553314036
"15753",1,534.545812575916,"CA","Other",9,9,21,11,"Saturday","Sunday","Thursday","4","2016","3","2016","3","2016",3,30,35.924748288316
"15754",1,6553.17610504656,"US","Other",7,6,17,13,"Sunday","Thursday","Friday","12","2016","8","2016","11","2016",70,30,58.3316026891365
"15755",1,516.410443086196,"US","Other",8,6,23,15,"Sunday","Tuesday","Wednesday","1","2015","9","2014","12","2014",77,39,32.5939056403706
"15756",1,1027.56674808389,"US","Other",4,4,24,19,"Monday","Thursday","Saturday","9","2014","7","2014","8","2014",37,30,212.265931104186
"15757",1,15314.6967262503,"US","Other",7,7,19,14,"Thursday","Monday","Monday","6","2016","3","2016","4","2016",42,45,78.994241490589
"15758",1,1750.64682198544,"NZ","Other",5,5,18,13,"Friday","Wednesday","Wednesday","2","2017","9","2016","1","2017",112,30,67.6341739985692
"15759",1,1738.56826900062,"DE","Other",6,6,19,17,"Tuesday","Thursday","Thursday","7","2015","4","2015","6","2015",41,33,62.3712233316643
"15760",1,1029.43057799517,"CA","Other",8,8,14,11,"Sunday","Tuesday","Friday","5","2015","1","2015","4","2015",93,30,539.745748050099
"15761",1,10209.7978175002,"US","Other",10,8,26,21,"Thursday","Thursday","Tuesday","5","2016","4","2016","4","2016",5,30,27.5920279895585
"15762",1,1859.3136964381,"US","Other",8,8,21,16,"Saturday","Sunday","Thursday","5","2015","4","2015","4","2015",3,30,54.075710752828
"15763",1,32594.296973163,"US","Other",9,5,26,16,"Thursday","Wednesday","Sunday","6","2016","11","2015","5","2016",179,46,294.754470174406
"15764",1,512.544426426477,"US","Other",9,7,14,13,"Thursday","Monday","Wednesday","8","2015","5","2014","7","2015",415,50,31.6870386107555
"15765",1,2258.37771193238,"AU","Other",9,7,22,10,"Wednesday","Tuesday","Monday","11","2015","9","2015","10","2015",20,30,21.4794753319518
"15766",1,2115.48580572512,"US","Other",1,1,9,6,"Wednesday","Tuesday","Monday","5","2015","1","2015","4","2015",104,30,39.7841174167992
